NEOSPORIN EYE DROPS|POLYMYXIN B SULPHATE, GRAMOCILLIN|WELLCOME FOUNDATION LTD. LONDON|04-1161
BOOSTAGIN TABLETS X 25 X 6'S|D-GLUCOSE 3.4G|SWISS PHARM PVT LTD 3709, PHASE IV GIDC ESTATE VATVA AHMEDABAD, INDIA|04-5387
BRASFEN CAPLETS X 2  X 10'S|IBUPROFEN 400MG|PHAKT OVERSEAS 6,7 AND 8 MANGALAM ANAND NAGAR DAHISAR (E) INDIA|04-5431
BRASFEN TABLETS X 3 X 10'S|IBUFROFEN 200MG|PHAKT OVERSEAS 6,7 AND 8 MANGALAM ANAND NAGAR DAHISAR (E) INDIA|04-5430
CHLOROQUINE INJECTION X 100'S|CHLOROQUINE PHOSPHATE BP 200MG/5ML|SHIJIAZHUANG NO 2 PHARM FACTORY NO 688 GONGNONG ROAD SHIJIAZHUANG, CHINA|04-5414
CHLOROQUINE PHOSPHATE X 10'S|CHLOROQUINE PHOSPHATE 40MG/ML|SWETA PHARM PVT LTD PLOT 221, GIDC, VAPICARE, GUJARAT, INDIA|04-5395
CLOFLAM-100 TABLETS X 100'S|DICLOFENAC SODIUM 100MG|XL LAB PVT LTD E-1223, PHASE 1 EXTN. RIICO INDL AREA, RAJASTHAN, INDIA|04-5389
CLOFLAM-50 TABLETS X 100'S|DICLOFENAC SODIUM 50MG|XL LAB PVT LTD E-1223, PHASE 1 EXTN. RIICO INDL AREA, RAJASTHAN, INDIA|04-5388
DEEMETHA CAPSULES X 1000'S|INDOMETHACIN 25MG|SISHUI XIERKANG PHARM CO LTD NORTH SIHE ROAD SISHUI SHANDONG, CHINA|04-5418
DEXALAB TABLETS X 100'S|DEXAMETHASONE 500MCG|LABORATE PHARM E-I IND AREA PANIPAT INDIA|04-5413
EMGYL SUSPENSION X 60ML|METRONIDAZOLE 200MG/5ML|SAME AS APPLICANT|04-1452
EM-VIT C TABLETS X 100'S & 1000'S|ASCORBIC ACID  100MG|SAME AS APPLICANT|04-1453
FERIDOL  CAPLETS 100S,1000'S|PARACETAMOL 500MG|SAME AS APPLICANT|04-2104
FEROBIN-PLUS CAPSULE 3 X  10'S|FERROUS FUMARATE 300MG, FOLIC ACID 5MG, VIT B 12  10MCG|SAME AS APLICANT|04-5583
FITSCOSATE (1L)|GLYPHOSATE 360G/L|HOCKEY INTRNATIONAL LTD. 354, PARKLANE, PAYNTON, STOCKPORT SK 12 1RL, U. K.|04-5597
FLAGYL
TABLETS 10 X10'S|METRONIDAZOLE 400MG|SWISS PHARM NIG LTD, 5, DOPEMU RD, AGEGE, LAGOS.
FORMERLY BY:
 MAY &BAKER; PLC
3/5 SAPARA STREET, IKEJA, LAGOS.|04-5566
FLUCAMED 200MG CAPSULES X 10'S|FLUCONAZOLE 200MG|SAME AS APPLICANT|04-5586
FLUKIVER 5% INJECT
INJECTABLE SOLUTION|CLOSANTEL SODIUM 
50MG/ML|JANSSEN PHARMACEUTICAL N.V, TURNHOUTSEWEG 30, B-2340 BEERSE BELGICA|04-5592
FORCE UP (1L)|GLYPHSATE 480G/L|SINO AGROCHEMICAL INDUSTRIES LTD. GUANGDONG CHINA|04-5602
LAXAPRIM 10 X 10'S|SULPHAMETHOXAZOLE 400MG, TRIMETHOPRIM 80MG|SAME AS APPLICANT|04-5567
LAXITOL ANTISEPTIC X 4L|CHLOROXYLENOL 4.8%|SAME AS APPLICANT|04-5569
MAGANIN SHANU 5% INJ. (50ML & 100ML)|OXYTETRACYCLINE HCL 5%|HEBI YUANZIHENG PHARM. LTD. SHIZHENG RD., HEBEI PROVINCE P.R. CHINA|04-5591
MAGNESIUM TRISILICATE X 200ML|DIPHENHYDRAMINE HCL 7MG, SODIUM CITRATE 2.85MG, MENTHOL 0.55MG/5ML|ASAD GENERIC LAB LTD. PLOT 50, INDEPEDENCE RD. KAWAJI, KANO|04-5578
METRONIDAZOLE SUSPENSION X 60ML|METRONIDAZOLE 200MG/5ML|ASAD PHARM. LIMITED; PLOT 50, INDEPENDENCE ROAD, KAWAJI, KANO.|04-5576
MILDOL SYRUP X 60ML|SULPHAMETHOXAZOLE 200MG, TRIMETHOPRIM 40MG /5ML|ASAD GENERIC LAB. LTD. PLOT 50, INDEPEDENCE RD. KAWAJI, KANO|04-5579
NIGERTOL GERMICIDE X 5L|CHLOROXYLENOL + P-CHLOROPHENOL 30  - 35%|SAME AS APPLICANT|04-5564
O-TETRA 5% INJ (500ML & 100ML)|OXYTETRACYCLINE HCL B.P. 5%|PLETHICO PHARMACEUTICALS LTD. 37/37A INDUSTRIAL ESTATE, POLO GROUND INDRE 452015 (M.P.) INDIA|04-5589
OXYTROX L.A. (30ML)|0XYTETRACYCLINE DEHYDRATE  20%|HEBEI YUANZHNG PHARM. LIABILITY CO. LTD, SHIZHENG RD. SHIJIANZHUANG HEBEI PROVINCE CHINA|04-5595
PALQUINE SYRUP X 60ML|CHLOROQUINE PHOSPHATE 8OMG/5ML|SAME AS APPLICANT|04-0696
PARAFORCE (1L)|PARAQUAT 200G/L|SINO AGROCHEMICAL INDUSTRIES LTD. GUANGDONG CHINA|04-5601
SALIN'S LINIMENT X 600ML|METHYL SALICYLATE 2.66% V/V|SAME AS APPLICANT|04-0990
DR. MEYER'S NOVAMIN CAPLETS (CHANGE OF PACKAGING)|METAMIZOLE 500MG|SAME AS APPLICANT|04-0067
DEXGLOBIN SYRUP ( FORMERLY UAL DEXORANGE)|FERRIC AMMONIUM CITRATE 53.3MG, CYNOCOBOLAMIN 2.83MCG, FOLIC ACID 0.25MG|PHARCHEM IND. LTD. PLOT J, IND. ST., ILUPEJU IND. EST., LAGOS|04-5276
EVANS GLUCOSE D (PINEAPPLE FLAVOUROTC)|CALCIUM 27MG, VIT D 19IU, DEXTROSE MONOHYDRATE 15G,FLAVOUR|SAME AS APPLICANT|04-0345
ASKACILLIN- 250 CAPSULES|AMPICILLIN 250MG|INTERMED 4, G.K. INDL ESTATE ARCOT INDIA|04-5286
ASKACLOX CAPSULES|AMPICILLIN 250MG, CLOXACILLIN 250MG|INTERMED, 4.G.K INDUSTRIAL ESTATE ARCOT RD, PORUR CHENNAI-116 INDIA|04-5307
BELTACOL EYE DROP|CHLORAMPHENICOL 0.005MG|BIRHODIN PHARM AND MEDICAL EQUIPMENT CO 49B NGUYEN THAI HOC ST. BIRDINH PROVINCE VIETNAM|04-5283
BELTASEN CREAM|CLOTRIMAZOLE 1%|MEDIPHARCO HUE CENTRAL PHARM COMPANY 66, PHAN CHU TRIUTH STR-VIETNAM|04-5281
BRUPANAX  CAPSULES|IBUPROFEN 200MG. PARACETAMOL 325MG, CAFFEINE 30MG|PARNAX LAB PVT LTD 74,AND 121, MASAT IND. ESTATE, SILVASSA 396230, INDIA|04-5278
CETILAB 200 TABLETS|CIMETIDINE 200MG|LABORATE PHARM (INDIA) E 11 IND. AREA PANIPAT, INDIA|04-5311
CETILAB 400 TABLETS|CIMETIDINE 400MG|LABORATE PHARM. (INDIA)  E-11 IND. AREA, PANIPAT, INDIA|04-5314
DEXAQUANTIN TABLETS|DEXAMETHASONE 0.5MG|NAXPAR LAB PVT LTD 120, MASAT DADRA INDL ESTATE SILVASSA 396 230 INDIA|04-5291
FAMACIN -250|AMPICILLIN 250MG|FLAMINGO PHARM LTD. R-662, TTC IND AREA RABALE, NAVI MUMBAI, 400 701 INDIA|04-5290
FAMACIN -500 CAPSULES|AMPICILLIN 500MG|FLAMINGO PHARM LTD R-662, TTC IND AREA RABALE, NAVI MUMBAI, 400 701 INDIA|04-5289
KEZZ ERYTHROMYCIN TABLET|ERYTHROMYCIN 500MG|VAPICARE PHARM PVT LTD NO 225/3 GIDC NEW MORAJI CIRCLE 396 195 GUJARAT STATE INDIA|04-5287
KEZZ GRISEOFULVIN TABLETS|GRISEOFULVIN 500MG|VAPICARE PHARM PVT LTD. NO 225/3 GIDC NEW MORAJI CIRCLE 396 195 GUJARAT STATE INDIA|04-5306
LAGA-GEE INJECTION|BENZYLPENICILLIN SODIUM 1MEGA|HUANYUAN ZHONGSENG PHARM CO. LTD CHENGDE HIGHTECH IND DEV. ZONE HEBEI CHINA|04-5293
MEDMORAL TABLETS|TRYPSIN/CHYMOTRYPSIN 50,000 UNITS|MEREL PHARM (INDIA) PVT. LTD H.O. 54B DRUGHOUSE PROCTER ROAD, MUMBAI 400 007, INDIA|04-5309
METRODOL TABLETS|METRONIDAZOLE 200MG|MAXHEAL PHARMACEUTICALS,95/6 M.I.D.C. SATPUR NASHKIC 422007 INDIA|04-5279
RANIVAN TABLETS|RANITIDINE 150MG|CIPLA LTD, MIDC, PATALGANGA M.S. 410220 INDIA|04-5294
SHEPHERD GENTAMICIN INJECTION|GENTAMICIN SULPHATE 80MG/2ML|DATONG HUIDA PHARM CO LTD NO 1 XINKAIBEI ROAD DATONG, SHANXI CHINA|04-5292
UPGA-500 CAPSULES|ACETAMINOPHEN BP 500MG|OLIVE HEALTHCARE 197/2 ATHIYAWADA NEAR DARYAH DABHAL VILLAGE INDIA|04-5284
UPHAXICAM -20 CAPSULES|PIROXICAM 20MG|UPHA PHARM MANUFACTURING (M) SDN, LOT 2 AND 4 JALAN P/7 SELANGOR D.E. MALAYSIA|04-5297
VALMET TABLETS|METRONIDAZOLE 200MG|VAPICARE PHARM PVT LTD NO 225/3 GIDC NEW MORAJI CIRCLE 396 195 GUJARAT STATE INDIA|04-5288
VITADYN CAPSULES|MULTIVITAMINS/MINERALS|GELNOVA LAB (INDIA) PVT LTD C-125, TTC IND. ESTATE MUMBAI,INDIA|04-5310
PENAC INJECTION|DICLOFENAC SODIUM 75MG|WUHAN PHARM CO LTD NO 5 GUITAN ROAD WUHAN CHINA|04-5282
SINOPEN INJECTION|PROCAINE PENICILLIN 3,000,000 IU, BENZYLPENICILLIN 1,000,000 IU|NINGBO CHEMICALS INT'L TRADE CO-OPERATIVE NO 2 PHARM. FACTORY, 64 YONGGUI RD. NINGBO, CHINA|04-5295
KEZZ METHYLDOPA TABLETS BP (POM|METHYLDOPA  BP 250MG|VAPICARE PHARM PVT LTD NO 225/3 GIDC NEW MORAJI CIRCLE 396 195 GUJARAT STATE INDIA|04-5280
LILY APETI TABLET (POM)|CYPROHEPTADINE 4MG|M/S MEGA INTER PVT. LTD. BCOUMPUR KHALA IND AREA DIST INDIA(FORMERLY MILAN LAB(INDIA) PLOT NR 63/67 JAWAHAR-COOP IND ESTATE KAMOTHE PANVEL NAVI MUMBAI, INDIA|04-5285
CEFUNAT TABLETS|SULPHADOXINE 500MG. PYRIMETHAMINE 25MG|BHARAT PARENTERALS LTD., VILL. HARIPURA TA. SAVLI. DIST. VADODARA, GUJARAT, INDIA
OLD SITE
OSAKA PHARM LTD., L-2, ADDITIONAL MIDC, SATARA, INDIA.|04-5298
ASMACARE SYRUP FOR CHILDREN (CHANGE OF NAME)|SALBUTAMOL 2MG/5ML|SAME AS APPLICANT|04-1730
AUSTSINE  INJECTION|HYOSCINE BUTYLBROMIDE 10MG|SISUI XIER KANG PHARMA CO. LTD NORTH OF SIHE  SISUI CHINA|04-5317
CEFOGRAM INJECTION|CEFTRIAXONE 1000MG|ASTRAL PHARM IND. 911 GIDC, MAKARPURA, VADODARA  390010 GUJARAT, INDIA|04-3126
COMBANTRIN CAPLETS|PYRENTEL PAMOATE 250MG|SAME AS APPLICANT|04-5003
DBD HYDROCORTISONE|HYDROCORTISONE SODIUM SUCCINATE 100MG|SWISS PARENTERALS PVT LTD 74/121 MASAT IND EST SILVASSA-396230, INDIA|04-5324
DR MEYER'S CYPRIVIT SYRUP|CYPROHEPTADINE HCL 2MG, VITB1 1MG, VIT B2 0.5MG, NIACINAMIDE 10MG, VIT B6 0.5MG, VIT B12 1MCG, L-LYSINE HCL 60MG, GLYCINE 40MG/5ML|SAME AS APPLICANT|04-5098
DR MEYER'S GELACID SUSPENSION|MAGNESIUM HYDROXIDE 150MG, MAGNESIUM TRISILICATE 50MG, CALCIUM CARBONATE 500MG, SIMETHICONE 5MG|SAME AS APPLICANT|04-2744
ERYTHROMYCIN DRY POWDER FOR ORAL SUSPENSION|ERYTHROMYCIN 125MG/5ML|SAME AS APPLICANT|04-5329
ERYTHROTEVA  TABLETS|ERYTHROMYCIN 500MG|TEVA PHARM IND LTD 5, BASEL STREET, PETAH-TIKVA, ISRAEL|04-1520 ( RENEWAL )
FANSIDAR INJECTION|SULPHADOXINE 500MG, PYRIMETHAMINE 25MG|ROCHE FANTENAY SOUS, FRANCE|04-0153 (RENEWAL)
FANSIDAR TABLETS|SULPHADOXINE 500MG, PYRIMETHAMINE 25MG|SAME AS APPLICANT|04-0154
FNIEB NUTRITHERAPY WATER|MACRO ELEMENTS & TRACE ELEMENTS|FNIEB EXPORTS 14, RUE V SCHOEL CHER 35200 RENNES FRANCE|04-3358
FNIEB NUTRITHERAPY WATER|MACRO ELEMENTS & TRACE ELEMENTS|FNIEB EXPORTS 14, RUE V SCHOEL CHER 35200 RENNES FRANCE|04-3358 (RENEWAL)
GUAZE GRIPE WATER|SODIUM BICARBONATE 50MG, DIL OIL 0.0036ML/5ML|SAME AS APPLICANT|04-5327
HYCOMYCIN EAR/EYE DROP|HYDROCORTISONE 1.5%, NEOMYCIN SULPHATE 0.5%|IVEE AQUA EPZ LTD. EXPORT PROCESSING ZONE NAIROBI, KENYA|04-1489
IVYFLUR EYE DROP 5ML|FLUBIPROFEN SODIUM 0.03%W/W|IVEE AQUA EPZ LTD L.R. NO 1874/83 ATHI RIVER,NAIROBI, KENYA|04-5315
IVYSINE EYE DROP|TETRAHYDROZOLIN HCL 0.05%W/W|IVEE AQUA EPZ LTD L.R. NO 18474/83 ATHI RIVER, NAIROBI, KENYA|04-5313
LEVOXIN TABLETS|LEVOFLOXACIN 250MG|CIPLA LTD, MIDC, PETALGANGA, M.S. 410220, INDIA|04-5322
NEMEGYL TABLETS|METRONIDAZOLE 200MG|SAME AS APPLICANT|04-5326
NEOGIN TABLETS|METAMIZOLE 500MG|MAXHEAL PHARM (INDIA) 95/6 MIDC, SATPUR NASHIK 422007, INDIA|04-5323
NKOYO GLUCOSE TABLETS|D-GLUCOSE 3.7MG|SWISS PHARMA PVT LTD KERALA BAVLA, GIDC INDIA|04-5318
NOVEL PARACETAMOL TABLET|PARACETAMOL 500MG|SAME AS APPLICANT|04-1180
NUTROPLEX SYRUP|MULTIVITAMIN/MINERALS|UNITED LABORATORIES INC. 66, UNITED STREET, MANDALUYONG METRO, MANILA, PHILIPINES|04-0632
OMEFAST CAPSULES|OMEPRAZOLE 20MG|PARNAX LAB PVT LTD 74/121 MASAT IND EST SILVASSA  396230, INDIA|04-5325
OTICLOX INJECTION|AMPICILLIN 250MG, CLOXACILLIN 250MG|SWISS PARENTERALS (PVT) LTD 809, KERALA GIDC NR BAVLA AHMEDABAD, INDIA|04-5316
RABYTOL ANTISEPTIC DISINFECTANT|CHLORINATED PHENOL 5%|SAME AS APPLICANT|04-1378
SHEPHERD AMPICILLIN + CLOXACILLIN INJECTION|AMPICILLIN 250MG, CLOXACILLIN 250MG|DATONG HUIDA PHARMA CO LTD NO 1 XINKAIBEI ROAD DATONG SHANXI CHINA|04-5312
TOX INJECTION|CEFOTAXIME SODIUM 1G|LABORATE PHARM. (INDIA) E-11 IND. AREA, PANIPAT, INDIA|04-5320
TREXIP TABLETS|CIPROFLOXACIN 500MG|NAXPAR LAB PVT LTD 120, MASAT IND ESTATE SILVASSA 396 230 , INDIA|04-5321
UNIPLEX COUGH SYRUP|AMMONIUM CHLORIDE 130MG, DIPHENHYDRAMINE HYDROCHLORIDE 14MG, SODIUM CITRATE 60MG, MENTHOL 1.1MG|SAME AS APPLICANT|04-5328
VOLTAREN EMULGEL|DICLOFENAC SODIUM 1%|NOVARTIS PHARMA GMBH NUREMBERG GERMANY|04-0038
ZENPRO CAPSULES|OMEPRAZOLE 20MG|XEPA SOUL PATTISON SDN BHD 1-5 CHENG INDUSTRIAL ESTATE 75250 MELAKA, MALAYSIA|04-5319
DR MEYER'S CYPRIVIT SYRUP|CYPROHEPTADINE HCL 2MG, VIT B1  1MG, VIT B2  0.5MG, NIACINAMIDE 10MG, VIT B6  0.5MG, VIT B12  1MCG,  L-LYSINE HCL 60MG, GLYCINE 40MG/5ML|SAME AS APPLICANT|04-5098
NORVASC TABLETS|AMLODIPINE BESILATE 5MG|HEINRICK MACK NACHF. GMBH & CO. KG, ILLERTISSEN, GERMANY|04-1386
FUNGUSOL LOTION|MICONAZOLE 2%|SAME AS APPLICANT|04-1486
ORZID INJECTION|CEFTAZIDIME 1000MG (APPROVED ON 5/5/04)|ASTRAL PHARM IND 911 GIDC, MAKARPURA, VADODARA 390010, GUJARAT, INDIA|04-3125
TAX-O-BID INJECTION|CEFOTAXIME 1000MG|ASTRAL PHRAM IND 911 GIDC, MARKAPURA, VADODARA 390010 GUJARAT, INDIA|04-3127
ABITREN TABLETS (RENEWAL)|DICLOFENAC SODIUM 100MG|TEVA PHARM INDL LTD 5, BASEL STREET, PETAH-TIKVA, ISRAEL|04-1514
LINCTIFED F EXPECTORANT SYRUP (RENEWAL)|TRIPLODINE HCL 125MG, PSEUDOEPHEDRINE HCL 20MG, CODEINE PHOSPHATE 75MG, POTASSIUM GUAIACOSULPHATE 120MG|GLAXOSMITHKLINE PHARM LTD LIKONI ROAD VIWADANI 00507, NAIROBI KENYA|04-1989
OTRIVIN 0.05%  NASAL DROPS|XYLOMETAZOLINE HYDROCHLORIDE 0.05%|NORVATIS CONSUMER HEALTH SA, ROUTE DE I'ETRAZ, 1260 NYON SWITZERLAND|04-5350
OTRIVIN 0.1% NASAL DROP (ADULT)|XYLOMETAZOLINE HYDROCHLORIDE 0.1%|NORVATIS CONSUMER HEALTH SA,NYON SWITZERLAND|04-0026
TAVEGYL TABLETS (POM)|CLEMASTIN 1MG|NORVATIS PHARMA GMBH NUREMBERG|04-0195
HEATOL EXTRA CHINESE BALM|CAMPHOR 26%, PEPPERMINT OIL 13%, CAPPUT OIL 10%, CLOVE OIL 10.0%, CINNAMON OIL 0.4%|SAME AS APPLICANT|04-1480
VILICIN BALM|METHYLSALICYLATE, MENTHOL CRYSTALS|SAME AS APPLICANT|04-1707
THERMO RUB|METHYLSALICYLATE 5% W/W|SAME AS APPLICANT|04-1573
ALBACURE BOLUS|ALBEDANZOLE 250MG|S.K. AGE EXPORTS, BLDG. NO A , MUDHUBAN, PLOT NO. 247/248, VAPI - 396 195, GUJARAT INDIA|04-2684
ALVENAX 2500|ALBENDAZOLE 2500MG|STAR LABORATORIES (PVT) LTD. (ANIMAL HEALTH CARE DIVISION) 23KM, MULTAN ROAD LAHORE, PAKISTAN|04-5012
ALVENAX DRENCH|ALBEDAZOLE 23MG/ML|STAR LABORATORIES (PVT) LTD (ANIMAL HEALTH CARE DIVISION) 23 KM, MULTAN ROAD LAHORE, PAKISTAN|04-5011
AMOVIT|MULTIVITAMINS AND AMINO ACIDS|LABORATORIES OVEJERO S.A CTRA-LEON VILECHA, 30 24192 LEN|04-5010
ANTELOPE MOSQUITO COIL|D-TRANS-ALLETHRIN 0.2%|MERCHANT INVESTORS LTD PLOT 3/4 BLOCK XIV, OTTA, OGUN STATE|04-5017
ATRAFITS|ATRAZINE 50%|HOCKLEY INT'L LTD, HOCKLEY HOUSE, 254, PARK LANE, POYNTON, SDTOCKPORT SK 12 IRL, UK|04-5019
CASPER DOUBLE ROTCTION|D-ALLETRIN 25MG|TAINWALA PERSONAL CARE PRODUCTS LTD. TAINWALA HOUSE ROAD NO 18, M.I.D.C. ANDHERI (E), MUMBAI 93, INDIA|04-5015
LEVOZAN PLUS SUSPENSION|OXYCLOZANIDE 3% AND LEVAMISOLE 1.5%|STAR LABORATORIES (PVT) LTD (ANIMAL HEALTH CARE DIVISION) 23KM, MULTAN ROAD LAHORE PAKISTAN|04-5013
NOVIDIUM TABLETS|HOMIDIUM CHLORIDE 250MG|MERIAL 17 RUE BOURGELAT 69002, LYON FRANCE|04-1382
OXYTETRACICLINA 200LA|OXYTETRACYCLINE DIHYDRATE 200MG|INDUSTRIAL VETERINARIA, S.A. IVESA , C/ESMERALDA, 19 08950, ESPLUGUES DE LOBREGAT BARCELONA SPAIN|04-5009
OXITETRA-
CICLINA 5%
INJECTABLE|OXYTETRACYCLINE HCL 50MG/ML|INVESA INDUSTRIAL VETERINARIA S.A ESMERALDA 19, E- 08950, ESPLUGUES DE LLOBREGAT BARCELONA, SPAIN.|04-5008
PRIMEXTRA GOLD|ATRAZINE 370G/L, S-METOLACHLOR 290G/L|SYNGENTA CROP PROTECTION AG. CH 8157 BASLE, SWITZERLAND|04-5020
RAID MOSQUITO COIL RED|ALLETHRIN (PYNAMIN FORTE) 0.02765G (0.22G)|SAME AS APPLIACANTS|04-5016
RHONAZINE 80WP (1KG)|ATRAZINE 80%|OXON-ITALIA S.P.A VIA SIMPIONE, 195 20016, PERO (MI) MILAN ITALY|04-5018
RHONCHLORV|DICHLORVOS 76% W/W|UNITED PHOSPHORUS LTD 167, DR A.B. RD., WORLI, BOMBAY 400 018 INDIA|04-5014
VERMICURE BOLUS|LEVAMISOLE HYDROCHLORIDE 600MG|S.K. AGE EXPORTS, BLDG. NO A, MUDHUBAN, PLOT NO 247.248, VAPI 396 195, GUJURAT INDIA|04-2606
VERMIZOLE FORTE|TETRAMISOLE 1000MG|STAR LABORATORIES (PVT) LTD. (ANIMAL HEALTH CARE DIVISION) 23KM, MULTAN ROAD LAHORE, PAKISTAN|04-5021
TRODAX 34% INJECTION|NITROXYNIL BP (VET) 34% W/V|MERIAL 17 RUE BOURGELAT 69002, LYON FRANCE|04-1381
CYPEN|CYPROHEPTADINE HYDROCHLORIDE 2MG/5ML|THERAPEUTICS LABS NIG LTD. 372, IKORODU RD. MARYLAND LAGOS|04-2799
FAITH VITAMIN C CHEWABLE TABLETS|ASCORBIC ACID 100MG|CHEMO-PHARMA LAB. LTD 10, OLANREWAJU ST., OREGUN, IKEJA, LAGOS|04-5443
FAITH VITAMIN C TABLETS|ASCORBIC ACID|CHEMO-PHARMA LAB. LTD. 10, OLANREWAJU ST., OREGUN, IKEJA, LAGOS|04-5444
METHYLCELLULOSE 1% EYE DROPS|METHYLCELLULOSE 10MG/ML|CHEMO-PHARMA LAB. LTD. 10, OLANREWAJU ST., OREGUN, IKEJA, LAGOS|04-5446
NIGERTOL ANTISEPTIC DISINFECTANT|CHLOROXYLENOL 5% W/V|SAME AS APPLICANT|04-5441
NIGERTOL LYSOL DISINFECTANT|CRESOL 50% W/V|SAME AS APPLICANT|04-5440
PREVITAL PRENATAL BLOOD TONIC|VIT A 2000IU, VIT B1 2MG, VIT B6 2.5MG, VIT B12  2MCG, VIT C 50MG, VIT D 400IU, FOLIC ACID 1MG, NICOTINAMIDE 10MG, CALCIUM 18.8MG, ELEMENTAL IRON 20MG|SAME AS APPLICANT|04-5442
PROPON ASPIRIN TABLETS|ACETYLSALICYLIC ACID|SAME AS APPLICANT|04-1195
STARGYL METRONIDAZOLE TABLETS|METRONIDAZOLE 200MG|SAME AS APPLICANT|04-1308
COLDCAP|CHLOPHENIRAMINE MALEATE  4MG, PHENYL PROPANOLAMINE HCL 25MG|GRACURE PAHRM LIMITED 71/5 SHIVAJI MARG, NEW DELHI 110015, INDIA|04-1595
ATROP EYE DROPS X 10ML|ATROPINE SULPHATE 1% W/W|UPHA PHARM MFG (M) SDN. BHD. LOT 2 & 4 JALAN P/7 SEKSEN 13, KAWASAN, PERSAHAN BANGI, 43650, BANDAR BANI BANGI SELANGOR, D.E., MALAYSIA|04-5372
BALZEN TABLETS X 2'S|ALBENDAZOLE 200MG|MEDREL PHARM (INDIA )PVT LTD 3325 GIDC SARIGAM DIST VALSAD GUJARAT 396155 INDIA|04-5363
B-COMPLEX INJECTION X 50'S|VITAMIN B COMPLEX 10ML|SYNCOM FORMULATIONS LTD 256-257, SECTOR 1, PITHAMBUR (DHAR), 454775 INDIA|04-5368
BIOMECOLOXIN TABLETS X 250'S|MECLOXIN 25MG, PYRIDOXINE 50MG|BIOMEDSON S.P.R.L. 69, AVENUE CHARLES WOESTE B-1090 BRUSSELS BELGIUM|04-5371
DIGO EXTRA TABLETS X 50 X 4'S|PARACETAMOL 500MG, CAFFEINE 30MG|MILAN LABORATORIES (INDIA) PLOT NO 63/67 JCEI LTD KAMOTHE INDIA|04-5376
G-CIN TABLETS  X 20'S|GRISEOFULVIN 500MG|MAXHEAL PHARM (INDIA) 95/6 MIDC, SATPUR, NASHIK 422 007 INDIA|04-5379
GOOD'N NATURAL VITAMIN E X 100'S|VITAMIN E 1000 I.U.|GOOD'N NATURAL MANUFACTURING COOP HOLBROOK, N.Y. 1174 U.S.A.|04-5377
GRIPCOLD TABLETS X 50 X 4'S|PARACETAMOL 500MG, CAFFEINE 30MG, CHORPHENIRAMINE MALEATE  2MG, PHENYLEPHRINE 2.5MG|VAPICARE PHARM PVT. LTD. PLOT 225/3 GIDC NR MORAJI  CIRCLE  VAPI INDIA|04-5382
JETRO TABLETS X 1000'S|METRONIDAZOLE 200MG|HEALTHYLIFE PHARMA (P) LTD N-31/1, MIDC, TARAPUR DIST. THANE MAHARASHTRA, INDIA|04-5378
LABMID INJECTION X 50'S|FRUSEMIDE BP 20MG/2ML|LABORATE PHARM E-11 IND AREA PANIPAT INDIA|04-5358
LABONAL INJECTION X 50'S|ANALGIN 500MG/5ML|LABORATE PHARM E-II IND AREA PANIPAT INDIA|04-5359
OFLOXALAB EYE/EAR DROP X 10ML|OFLOXACIN USP 3MG/ML|LABORATE PHARM E-11 IND AREA PANIPAT INDIA|04-5361
PICLO CAPSULES X 10 X 10'S|AMPICILLIN 250MG, CLOXACILLIN 250MG|PACE PHARMATECH PVT LTD 118, INDUSTRIAL AREA, 1ST FLOOR, RAO DIST. INDORE, INDIA|04-5370
QUININE INJECTION X 10'S|QUININE DIHYDROCHLORIDE 600MG/2ML|LABORATE PHARM E-11 IND AREA PANIPAT INDIA|04-5360
RIFALAB CAPSULES X 10 X 10'S|RIFAMPICIN 300MG|LABORATE PHARM E-11 IND. AREA PANIPAT INDIA|04-5362
RIFALAB FORTE CAPLETS  X 2 X 10'S|RIFAMPICIN 300MG, ISONIAZID 150MG|LABORATE PHARM E-11 IND. AREA PANIPAT INDIA|04-5357
SAROFLOX TABLETS X 10'S, 10 X 10'S|CIPROFLOXACIN 500MG|ZHEJIANG TINGXIN PHARM CO LTD QUINSHAN IND ZONE XINCHANG COUNTY ZHEJIANG CHINA|04-5365
SAROFLOX TABLETS X 10'S, 10 X 10'S|CIPROFLOXACIN 250MG|ZHEJIANG TINGXIN PHARM CO LTD QUINSHAN IND ZONE XINCHANG COUNTY ZHEJIANG HINA|04-5364
SEFARETIC TABLETS X 500'S|HYDROCHLOROTHIZIDE 50MG, AMILORIDE HYDROCHLORIDE 5MG|UNISON LAB CO. LTD 160 SOI ONNUCH SUKHUMVIT RD LADKRABUNG BANGKOL 10520 THAILAND|04-5375
TERBIMAX CREAM 10G|TERBINAFINE HYDROCHLORIDE 1%W/W|CIPLA LTD MIDC, PATALGANGA M.S 410 220  INDIA|04-5356
TERBIMAX TABLETS X 10'S|TERBINAFINE HYDROCHLORIDE  250MG|CIPLA LTD MIDC, PATALGANGA M.S 410 220 INDIA|04-5355
ULTICLOX CAPSULES X 10 X 10'S|AMPICILLIN 250MG, CLOXACILLIN 250MG|RICHYGOLD INT. LTD 2, KRISHNA NIWAS PALGHAR BORIVALI (W) MUMBAI 92, INDIA|04-5383
ULTICOD CAPSULES X 10 X 10'S|CODLIVER OIL 300MG|GELNOVA LAB PVT LTD C-125, TTC IND AREA, MAHAPE, NAVI MUMBAI- 400 705, INDIA|04-5380
